Cpu,Ram,Weight,Price,Acer,Apple,Asus,Chuwi,Dell,Fujitsu,Google,HP,Huawei,LG,Lenovo,MSI,Mediacom,Microsoft,Razer,Samsung,Toshiba,Vero,Xiaomi,No
93,16,2.43,6524.136,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
49,4,2,1105.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,16,2.8,3460.536,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,8,1.7,2341.656,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,8,1.7,1595.736,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
75,8,1.4,2506.824,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,8,1.86,1838.16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
93,16,1.8,5282.712,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,4,1.86,1168.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
33,4,1.44,610.056,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
67,4,1.9,1462.536,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
93,12,3,2528.136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,4,1.25,2901.096,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
97,8,1.4,2544.12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,8,2.2,2317.68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,8,2.7,2917.08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
49,8,2.1,1036.296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
